Gender,Married,Education,ApplicantIncome,LoanAmount,Loan_Status,
Male,Yes,Graduate,5000,200,Y,
Female,No,Graduate,3000,100,N,
Male,Yes,Not Graduate,4000,150,Y,
Male,No,Graduate,2000,80,N,
Female,Yes,Graduate,2500,120,Y,
Female,No,Not Graduate,3500,110,N,
Male,Yes,Graduate,6000,250,Y,
Male,Yes,Not Graduate,4000,160,Y,
Female,No,Graduate,2200,90,N,
Male,Yes,Not Graduate,5800,210,Y,
Male,No,Graduate,3300,130,Y,
Female,Yes,Graduate,2700,100,N,
Male,Yes,Not Graduate,3100,170,Y,
Female,No,Graduate,2900,95,N,
Male,Yes,Graduate,4600,180,Y,
Female,No,Not Graduate,3200,115,N,
